102;16;18;5;5;35900544.27;1780652.16;34119892.11
86;18;63;3;5;61888424.760000005;1854422.04;60034002.72
65;17;85;5;5;129070792.09;3423754.1;125647037.99
367;23;8;3;5;204487592.07;5085477.96;199402114.11
86;16;316;3;5;300128190.22;8268040.4;291860149.82000005
64;16;134;5;4;133189175.55;7695073.28;125494102.27
95;13;52;3;2;233444165.45;7536903.0;225907262.45
132;180;14;3;5;153738119.72;9272110.18;144466009.54000002
112;11;12;7;2;280027962.91;10577073.83;269450889.08
96;29;220;3;5;489419462.12;12880454.4;476539007.72
73;317;36;3;5;366654938.4800001;12959695.44;353695243.04
172;22;103;3;5;422729838.4;14010270.12;408719568.28
72;24;22;3;1;137498447.75;13058115.84;124440331.91
64;54;76;5;4;210394646.18;14729748.48;195664897.7
386;12;27;3;4;445472415.53;15386469.96;430085945.57000005
118;73;27;3;3;439244160.05;15916849.92;423327310.13
69;282;57;3;5;293977395.32;18253955.88;275723439.44
86;67;105;3;4;521969328.6;17185413.17;504783915.43
66;34;198;5;5;393440164.17;18498997.44;374941166.73
66;72;262;3;5;385832405.73;18661234.64;367171171.09
176;8;213;3;4;691847376.6300001;17415868.32;674431508.3100001
325;30;27;3;5;449755572.07;17808338.59;431947233.48
115;76;87;3;5;362540515.39;19222321.77;343318193.62
144;12;43;7;4;326287050.92;18376330.29;307910720.63
62;15;368;5;4;377118054.61;19811942.4;357306112.21000004
115;13;44;9;4;573760361.66;20370660.71;553389700.95
146;36;145;3;5;580699221.73;23711745.6;556987476.13
78;111;61;3;3;344741840.51;23102023.65;321639816.85999995
80;60;108;3;3;303096667.04;23842569.02;279254098.02
63;340;60;3;4;422918005.31;26358497.28;396559508.03
79;93;26;7;4;328441946.51000005;23986538.72;304455407.79
77;148;54;3;3;314887573.92;27267962.34;287619611.58
66;235;91;3;4;955770560.4;31193033.51;924577526.89
61;63;227;3;3;559734591.3900001;31831383.18;527903208.21
130;25;352;3;5;1329418320.4;32378797.44;1297039522.96
322;78;12;3;4;474027226.59;30995339.73;443031886.86
95;15;423;5;5;679384262.12;32113440.9;647270821.22
123;8;501;5;5;1018760247.19;35120100.0;983640147.19
61;223;216;3;5;1088778689.7799995;41086186.5;1047692503.28
67;24;322;7;5;550872252.65;35888714.53;514983538.12
199;192;9;3;3;483174157.94;39151090.02;444023067.92
148;8;393;5;5;1145172162.17;39670992.0;1105501170.17
60;159;45;5;3;440339703.92;40125240.0;400214463.92
56;226;52;7;5;603964063.13;39075202.57;564888860.56
364;16;61;3;4;1125684732.81;41694232.78;1083990500.03
201;26;194;3;5;1190497475.1;42795027.1;1147702448.0
83;114;15;5;2;447202891.15;38358720.0;408844171.15
104;13;111;11;5;1100464402.86;39166944.96;1061297457.9
68;73;229;3;3;1444944334.21;44633868.43;1400310465.78
433;33;37;3;5;1052643523.32;46644955.55;1005998567.77
119;95;62;5;5;1348142474.28;47564812.8;1300577661.48
125;158;99;3;5;882935757.3499999;53369052.42;829566704.93
166;17;191;5;5;1943205232.47;52624518.64;1890580713.83
93;420;16;5;4;747363837.99;49839417.6;697524420.39
62;244;98;3;3;623406351.02;53223693.06;570182657.96
270;9;398;3;5;2641355624.48;54689187.96;2586666436.52
287;32;36;5;5;779294850.77;54332098.56;724962752.2099999
77;187;45;7;5;1386403134.7599998;52028430.3;1334374704.4599998
134;72;212;3;5;1152139906.0;60399721.27;1091740184.73
76;169;102;3;3;1669741793.5100002;58814456.31;1610927337.2000003
111;423;55;3;5;905614601.66;62116824.13;843497777.53
58;138;399;3;4;976064880.4;62529508.44;913535371.96
64;318;225;3;5;1117315173.92;70780923.36;1046534250.56
104;23;23;13;3;1459909571.86;51339346.74;1408570225.12
81;55;152;7;5;1582797998.61;58809884.67;1523988113.9399998
163;9;91;9;4;1012349679.68;59524657.92;952825021.76
104;102;105;5;5;953429215.99;66218002.2;887211213.7900001
81;19;88;13;4;1324067865.92;51342379.55;1272725486.37
252;11;169;3;3;2758857699.2;66204647.31;2692653051.89
86;85;340;3;4;2030402444.3;70598214.72;1959804229.58
106;115;261;3;5;2276909787.4;73321986.67;2203587800.73
135;156;43;5;5;1124473513.34;68559650.64;1055913862.7
212;11;446;3;4;3664373098.61;72204718.29;3592168380.32
73;302;140;3;4;1568085460.49;77035817.38;1491049643.11
98;489;48;3;4;1010502739.71;74042424.0;936460315.71
138;337;36;3;4;1996817102.87;75009972.24;1921807130.63
85;241;209;3;5;2461903997.9999995;82368063.04;2379535934.96
162;227;22;3;3;2031101616.17;73499870.19;1957601745.98
56;372;317;3;5;1441181407.87;85706785.84;1355474622.03
137;118;107;3;4;1637820049.63;78064285.32;1559755764.3100002
99;164;30;5;3;901418799.64;75117477.6;826301322.04
58;438;91;5;5;1283743000.11;80468519.04;1203274481.07
89;20;28;11;2;545320482.34;60799692.8;484520789.54
98;185;135;3;4;2198984323.5;78783637.5;2120200686.0
130;347;64;3;5;2221741320.34;81712310.63;2140029009.71
85;9;434;11;5;1029466730.01;67852457.16;961614272.85
131;287;50;3;4;2158118122.21;78873351.48;2079244770.73
72;20;248;7;3;734952997.1600001;72101024.13;662851973.0300001
260;231;16;3;4;1039323044.67;81258789.43;958064255.24
115;71;67;3;2;2293602674.78;78006964.27;2215595710.51
102;140;273;3;5;1230617990.68;85070656.94;1145547333.74
169;11;165;5;3;2432425585.09;79799596.8;2352625988.29
104;31;430;5;5;2614913246.7200003;82416990.6;2532496256.12
83;201;34;7;4;904833632.25;75117141.12;829716491.13
224;45;180;3;5;1561865507.87;86506989.12;1475358518.75
