3;53426443.67;3148483.74;50277959.93;5614272;9843520
5;117136495.47;8441610.24;108694885.23;15052800;9839360
7;199878228.37;16545556.07;183332672.29999998;29503488;9843968
9;275755919.77;26382723.84;249373195.93;47044800;9843008
11;381094911.39;39411229.44;341683681.95;70276800;9850688
